"variable","SSres","SStot","ll","R2","N","AIC"
"r",1.32208218237784,12.3362434782609,-9.80610668885946,0.892829435094432,6,31.6122133777189
"Protc",8.09200493514907,3.20738661823981,-69.3805151056977,-1.52292782202537,6,150.761030211395
"r",0.644531594791184,12.3362434782609,-4.78059962316077,0.947753009582942,16,41.5611992463215
"Protc",4.92034668692356,3.20738661823981,-42.1868486701659,-0.534067224369669,16,116.373697340332
"r",1.14291268675991,12.3362434782609,-8.47717629948033,0.907353264486554,11,38.9543525989607
"Protc",6.81322935826833,3.20738661823981,-58.4163462823211,-1.12423077390258,11,138.832692564642
"r",0.396085218753335,12.3362434782609,-2.93783091909592,0.967892558261247,31,67.8756618381918
"Protc",7.10592481330552,3.20738661823981,-60.9259049890104,-1.21548745414583,31,183.851809978021
