"Vmax","Km","CUE","k"
0.369157543507139,5.66660887003025,0.767974054591297,0.0107735671650966
1.2385229630687,58.9203119805871,0.741830387159963,0.0132537238255638
0.728923257759448,22.1579427914037,0.635336512306573,0.0054225483447721
0.608036769399377,16.2258694990459,0.710261015425879,0.00568334337263857
0.382023836051134,5.03961317951292,0.80303195116916,0.00725156147573193
0.788320753695717,27.5954779364109,0.684778151273802,0.00605502128978057
0.845794031469781,22.7536201307476,0.329410626830705,0.00594784049914357
0.997704904113473,35.5584541213344,0.582210637024364,0.0053533738959333
0.949348312111469,31.9164644885658,0.66573705572914,0.00849869793372943
1.06680206022659,45.1787408823636,0.701178813829127,0.00594335760039536
1.09718598942475,41.8032249361338,0.610026832956738,0.00510748517219975
0.617991658643735,16.7170555006783,0.705502114441893,0.0090440230441042
