Structure,Broth,Broth,Broth,Broth,Mixed glass,Broth,Broth,Glass wool,Mixed glass,Broth,Mixed glass,Mixed glass,Glass wool,Broth,Mixed glass,Mixed glass,Glass wool,Broth,Glass wool,Glass wool,Mixed glass,Mixed glass,Mixed glass,Glass wool,Glass wool,Mixed glass,Glass wool,Broth,Mixed glass,Glass wool,Mixed glass,Broth,Glass wool,Glass wool,Broth,Glass wool,Broth,Mixed glass,Glass wool,Mixed glass,Glass wool,Broth,Mixed glass,Broth,Mixed glass,Glass wool,Broth,Glass wool,Mixed glass,Mixed glass,Glass wool,Glass wool,Broth,Broth,Broth,Mixed glass,Broth,Glass wool,Broth,Broth,Mixed glass,Glass wool,Glass wool,Broth,Broth,Mixed glass,Glass wool,Glass wool,Mixed glass,Mixed glass,Mixed glass
Substrate,Glucose,Cellobiose,Cellobiose,Glucose,Cellobiose,Cellobiose,Cellobiose,Glucose,Glucose,Glucose,Cellobiose,Cellobiose,Glucose,Glucose,Glucose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Glucose,Cellobiose,Glucose,Glucose,Cellobiose,Cellobiose,Glucose,Glucose,Glucose,Glucose,Glucose,Glucose,Glucose,Cellobiose,Cellobiose,Glucose,Cellobiose,Glucose,Cellobiose,Cellobiose,Glucose,Glucose,Cellobiose,Cellobiose,Glucose,Cellobiose,Glucose,Glucose,Glucose,Cellobiose,Cellobiose,Glucose,Glucose,Cellobiose,Cellobiose,Cellobiose,Glucose,Glucose,Cellobiose,Cellobiose,Cellobiose,Glucose,Glucose,Glucose,Cellobiose,Glucose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Cellobiose
Day,2,1,1,5,2,1,2,2,2,2,5,1,2,1,5,5,5,5,2,5,2,2,5,1,1,1,2,5,2,1,2,1,5,2,2,5,2,5,1,1,5,1,5,5,1,1,5,1,1,2,5,2,2,2,5,1,1,2,5,5,5,1,5,2,1,2,2,5,1,5,1
Sample,BG9,BC7,BC5,BG1,MC11,BC8,BC10,GG9,MG9,BG12,MC3,MC8,GG11,BG6,MG1,MC2,GC3,BC1,GC9,GG1,MC12,MG12,MG2,GC5,GC7,MG8,GG12,BG3,MG10,GG8,MG11,BG8,GC1,GC12,BG10,GC2,BG11,MG4,GC8,MG7,GG2,BC6,MC1,BG2,MG6,GG6,BG4,GG5,MC5,MC9,GG3,GG10,BC9,BC11,BC2,MG5,BG7,GC10,BC3,BC4,MG3,GG7,GG4,BC12,BG5,MC10,GC11,GC4,MC6,MC4,MC7
OTU1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94915254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36363636,0
OTU2041,0,0,0,0,0,25,0,0,0,0,23.25581395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.80952381,0,0,0,0,0,0,0,0,0,0,16.94915254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.31578947,0,0,0,0,0,0,0,0,0
OTU1859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94915254,0,0,0,0,0,0,0,0,0,0,0,26.31578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1097,23.25581395,0,0,0,0,0,26.31578947,0,0,32.25806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.77777778,0,0,20,0,0,0,0,16.94915254,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU907,0,31.25,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.80952381,0,0,27.77777778,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.77777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1062,0,31.25,0,0,0,0,0,27.77777778,0,0,0,0,27.77777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.27659574,0,0,0,0,22.22222222,0,0,0,0,0,15.38461538,0,0,26.31578947,0,0,0,0,35.71428571,0,0,0,0,0,0,0,0
OTU2013,0,0,16.66666667,0,0,0,0,0,0,0,0,33.33333333,0,24.3902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.85714286,0,0,0,0,0,0,0,0
OTU899,0,0,33.33333333,0,0,0,0,0,0,32.25806452,0,0,27.77777778,0,0,0,0,0,23.25581395,0,0,0,0,0,23.25581395,0,0,0,0,0,0,0,0,0,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,26.31578947,0,0,17.85714286,0,0,0,0,0,0,0,0,0,0,0,0,26.31578947,0,0,0,0,0,0,0
OTU1901,0,0,0,0,0,0,26.31578947,0,37.03703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22222222,0,0,0,0,0,17.85714286,0,0,0,0,0,0,0,0
OTU1637,23.25581395,0,0,0,0,0,0,0,0,0,23.25581395,0,0,0,0,0,0,25,0,0,0,22.72727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.27659574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18181818,0
OTU1409,0,0,0,0,0,25,0,0,0,0,23.25581395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,0,66.66666667,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU212,69.76744186,0,66.66666667,0,0,125,26.31578947,0,37.03703704,32.25806452,23.25581395,33.33333333,27.77777778,48.7804878,0,0,0,25,23.25581395,94.33962264,30.3030303,22.72727273,0,0,69.76744186,0,0,0,54.05405405,54.05405405,0,23.80952381,20,0,27.77777778,16.94915254,0,40,0,0,22.72727273,0,0,21.27659574,28.57142857,0,19.23076923,52.63157895,22.22222222,25,0,25.64102564,23.80952381,83.33333333,15.38461538,23.52941176,22.22222222,0,15.15151515,0,21.73913043,0,0,26.31578947,85.71428571,0,0,0,0,0,0
OTU648,23.25581395,0,33.33333333,0,0,0,0,0,0,0,46.51162791,0,0,0,0,0,18.18181818,0,46.51162791,0,0,0,0,0,23.25581395,0,0,0,0,0,0,0,20,0,27.77777778,16.94915254,0,0,0,0,0,0,0,0,0,0,19.23076923,0,22.22222222,0,0,0,23.80952381,0,0,11.76470588,0,26.31578947,15.15151515,0,0,0,0,0,0,0,22.72727273,22.22222222,0,0,0
OTU2306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.72727273,0,0,0,0,0,0,0,22.22222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.64102564,0,0,0,0,0
OTU1058,0,0,16.66666667,0,0,0,0,0,37.03703704,32.25806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.80952381,20,0,0,0,28.57142857,0,25.64102564,0,0,0,16.94915254,0,0,0,0,0,0,0,0,0,47.61904762,0,0,0,0,0,0,27.77777778,0,0,0,0,0,0,0,22.22222222,0,0,0
OTU1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.77777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU467,23.25581395,0,16.66666667,0,25,0,0,0,0,0,0,0,55.55555556,0,0,0,0,0,23.25581395,18.86792453,0,22.72727273,0,0,23.25581395,57.14285714,0,0,0,27.02702703,0,0,20,0,0,16.94915254,0,20,0,0,0,0,0,21.27659574,0,0,0,0,0,25,17.85714286,0,23.80952381,83.33333333,0,11.76470588,0,0,0,0,0,26.31578947,0,26.31578947,0,0,0,0,0,0,0
OTU699,0,0,0,0,0,0,0,0,37.03703704,0,0,0,0,24.3902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,0,0,0,44.44444444,0,0,0,0,27.77777778,0,0,0,0,0,0,0,26.31578947,0,0,0,0,0,0,0,0,0
OTU1647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.64102564,0,0,0,0,0,0,0,0,0,0,0,0,0,23.80952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU984,0,0,16.66666667,0,0,0,0,0,0,0,23.25581395,0,0,0,0,39.21568627,0,0,0,18.86792453,0,0,0,0,0,0,0,0,0,0,0,23.80952381,0,0,0,0,0,0,25.64102564,0,0,0,0,0,0,0,19.23076923,0,0,0,0,0,0,27.77777778,0,0,0,0,0,0,0,0,0,0,28.57142857,0,0,0,0,0,0
OTU2676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.14285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2281,0,0,16.66666667,0,0,0,0,0,0,0,23.25581395,0,0,0,0,0,18.18181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,0,0,0,22.22222222,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.73913043,0,0,0,0,0,0,0,0,0,0
OTU2452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2157,23.25581395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1754,0,0,0,0,0,25,0,0,0,0,0,0,0,24.3902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2329,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.77777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU957,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,23.25581395,0,0,0,0,0,0,0,0,0,0,27.02702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.31578947,22.22222222,0,0,25.64102564,23.80952381,27.77777778,0,11.76470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1923,0,0,0,0,0,0,0,0,0,32.25806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU64,0,31.25,16.66666667,0,0,25,26.31578947,0,0,96.77419355,0,66.66666667,27.77777778,73.17073171,17.54385965,0,0,25,23.25581395,18.86792453,0,68.18181818,0,28.57142857,0,28.57142857,17.54385965,0,54.05405405,54.05405405,0,23.80952381,0,0,83.33333333,0,85.71428571,20,25.64102564,0,0,0,0,21.27659574,57.14285714,60.60606061,0,0,22.22222222,0,0,0,47.61904762,0,15.38461538,0,44.44444444,0,15.15151515,27.77777778,0,0,0,26.31578947,28.57142857,0,0,0,28.57142857,0,0
OTU774,0,0,16.66666667,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,25.64102564,0,0,0,0,0,0,0,0,0,0,0,0,0,23.80952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU920,0,31.25,0,0,0,0,0,27.77777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22222222,0,30.3030303,0,0,0,0,0,0,0,0,0,0,0,0
OTU1715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94915254,0,0,0,19.23076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1121,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,48.7804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.27659574,0,0,0,0,22.22222222,0,0,0,23.80952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1378,0,0,0,0,0,0,26.31578947,0,0,32.25806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22222222,0,0,0
OTU2448,46.51162791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.02702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,0,0,0,0,0,0,0,0,27.77777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94915254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.0606061,27.77777778,0,0,0,0,0,0,0,0,0,0,0
OTU203,23.25581395,0,0,0,0,0,0,0,0,0,0,0,0,0,17.54385965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.84745763,0,0,0,0,0,0,0,0,25.64102564,0,0,0,23.52941176,0,0,0,27.77777778,0,0,0,26.31578947,0,0,0,0,0,0,0
OTU725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.72727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU22,0,0,16.66666667,0,25,0,0,27.77777778,74.07407407,0,3232.55814,33.33333333,0,0,0,2843.137255,10236.36364,0,209.3023256,4207.54717,0,68.18181818,0,0,0,0,35.0877193,0,0,0,28.57142857,0,560,130.4347826,27.77777778,1728.813559,0,1260,0,0,681.8181818,0,2796.610169,0,0,0,19.23076923,131.5789474,22.22222222,100,321.4285714,0,0,0,0,941.1764706,0,0,0,0,21.73913043,0,464.2857143,0,0,128.2051282,0,22266.66667,0,5981.818182,0
OTU370,0,0,0,0,0,0,0,0,0,0,23.25581395,0,0,0,0,19.60784314,0,150,0,37.73584906,0,22.72727273,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94915254,28.57142857,0,0,0,0,0,16.94915254,21.27659574,0,0,0,0,0,25,0,0,0,0,15.38461538,0,0,0,90.90909091,0,0,0,0,0,0,0,0,0,0,0,0
OTU53,0,31.25,16.66666667,100,0,0,0,0,0,32.25806452,0,0,0,0,70.1754386,0,0,1525,23.25581395,37.73584906,0,0,0,0,0,0,17.54385965,0,81.08108108,0,0,0,0,43.47826087,0,0,0,80,0,0,0,0,101.6949153,425.5319149,0,0,442.3076923,0,0,0,17.85714286,0,0,0,200,11.76470588,0,26.31578947,2439.393939,527.7777778,195.6521739,0,17.85714286,0,0,0,0,22.22222222,0,36.36363636,0
OTU75,0,0,0,16.66666667,0,75,26.31578947,0,0,0,46.51162791,0,0,0,0,0,0,1400,0,0,0,45.45454545,117.6470588,0,23.25581395,0,0,0,0,0,0,0,0,21.73913043,0,33.89830508,0,40,0,0,0,0,288.1355932,106.3829787,0,0,269.2307692,0,22.22222222,0,0,51.28205128,0,27.77777778,76.92307692,0,0,0,2242.424242,472.2222222,0,0,0,26.31578947,0,0,22.72727273,0,0,36.36363636,0
OTU1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.54385965,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94915254,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,15.15151515,0,0,0,0,0,0,0,0,0,0,0,0
OTU664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.60784314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1261,0,0,0,0,0,0,26.31578947,0,0,0,46.51162791,0,0,0,0,0,18.18181818,200,23.25581395,0,0,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.84745763,21.27659574,0,0,0,26.31578947,44.44444444,25,0,0,0,0,0,0,0,0,212.1212121,83.33333333,0,0,17.85714286,0,0,0,0,0,0,0,0
OTU1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.1754386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.46153846,0,0,0,0,0,0,333.3333333,0,0,0,0,15.15151515,0,0,52.63157895,0,0,0,0,0,0,0,0,0
OTU635,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3902439,17.54385965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,20,0,0,22.72727273,0,67.79661017,0,0,0,0,0,0,0,0,25.64102564,0,0,0,23.52941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.4915254,0,380,0,0,0,0,2372.881356,0,0,0,0,0,0,0,0,0,0,27.77777778,0,117.6470588,0,0,15121.21212,0,0,0,0,0,0,0,0,44.44444444,0,54.54545455,0
OTU43,0,0,0,116.6666667,25,0,0,55.55555556,0,0,116.2790698,0,0,0,210.5263158,137.254902,254.5454545,0,69.76744186,113.2075472,0,0,39.21568627,0,0,0,0,0,0,0,0,0,900,0,0,372.8813559,0,80,0,0,454.5454545,0,355.9322034,0,0,0,0,0,0,25,53.57142857,76.92307692,0,0,0,94.11764706,0,52.63157895,15.15151515,0,65.2173913,0,321.4285714,0,0,51.28205128,45.45454545,266.6666667,0,109.0909091,0
OTU380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.23076923,0,0,0,0,51.28205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU251,23.25581395,0,0,0,0,0,26.31578947,0,0,32.25806452,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.15151515,0,0,0,0,0,0,0,0,22.22222222,0,0,0
OTU1442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU28,325.5813953,93.75,100,166.6666667,75,200,1157.894737,166.6666667,74.07407407,32.25806452,69.76744186,66.66666667,444.4444444,512.195122,175.4385965,39.21568627,18.18181818,1650,186.0465116,75.47169811,60.60606061,90.90909091,39.21568627,57.14285714,69.76744186,200,70.1754386,76.92307692,243.2432432,108.1081081,85.71428571,238.0952381,460,65.2173913,388.8888889,203.3898305,914.2857143,300,179.4871795,0,386.3636364,0,711.8644068,212.7659574,0,30.3030303,653.8461538,1684.210526,66.66666667,100,250,51.28205128,285.7142857,1000,492.3076923,117.6470588,333.3333333,78.94736842,2954.545455,1000,152.173913,78.94736842,107.1428571,526.3157895,171.4285714,153.8461538,136.3636364,288.8888889,85.71428571,200,62.5
OTU950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.02702703,0,0,0,20,0,0,0,0,0,25.64102564,0,0,0,0,0,0,0,0,52.63157895,0,0,0,25.64102564,0,27.77777778,0,0,0,0,45.45454545,27.77777778,0,0,0,78.94736842,0,0,0,0,0,0,0
OTU230,186.0465116,0,133.3333333,0,0,100,1184.210526,55.55555556,37.03703704,193.5483871,23.25581395,0,138.8888889,97.56097561,105.2631579,19.60784314,36.36363636,750,69.76744186,37.73584906,0,0,39.21568627,28.57142857,0,0,0,0,243.2432432,0,0,142.8571429,220,43.47826087,250,16.94915254,371.4285714,100,25.64102564,0,22.72727273,0,237.2881356,148.9361702,28.57142857,0,96.15384615,105.2631579,22.22222222,50,142.8571429,0,452.3809524,1527.777778,184.6153846,47.05882353,111.1111111,0,818.1818182,472.2222222,21.73913043,52.63157895,0,684.2105263,28.57142857,25.64102564,90.90909091,66.66666667,0,181.8181818,0
OTU508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.27659574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.60784314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.15151515,0,0,0,0,0,0,0,0,0,0,0,0
OTU16,23.25581395,0,0,0,50,25,0,55.55555556,37.03703704,0,1860.465116,0,0,0,894.7368421,3509.803922,0,6400,93.02325581,3301.886792,0,0,0,0,0,0,17.54385965,1923.076923,0,0,0,0,8200,0,27.77777778,2796.610169,0,1840,25.64102564,0,2113.636364,0,8355.932203,0,0,0,19.23076923,0,22.22222222,50,0,25.64102564,0,0,5800,1352.941176,0,0,5000,8722.222222,21.73913043,0,1642.857143,0,0,0,0,2222.222222,0,0,0
