"Vmax","Km","m0","f","Yu","R_0","S_0"
0.309170021386003,4.85522595500785,0.00550590109461121,5.0346791873195,0.732988537084901,0.05324329008474,0.37425934686203
0.822769176900308,2.83062283855274,0.0593833530689386,6.35643687549267,0.38502452279009,0.00744505102999372,0.107835959417858
0.552271659924272,15.406055076638,0.00298825062709054,4.25481307482306,0.588141803127077,0.0142321105592843,0.247712351728439
0.557419954817524,17.6473276347065,0.00576844116143793,11.2214787313789,0.590652306362651,0.0139901419259645,0.402976231919157
0.385537798425691,5.13180521421072,0.00740758347873901,4.33102000167203,0.797656013615662,0.0971843870487679,0.0655231679372771
0.368356249392761,9.60509523675308,0.00321021053257198,1.13150624424141,0.60582963493154,0.0757893234461213,0.838302816839807
0.930566597311411,2.56282612272944,0.0473006141487006,0.627291321317397,0.424719330757034,0.000459658121918565,0.262351366903998
0.725085613314963,18.3600600834757,0.00421870833567929,0.583131966606898,0.508759174113658,0.0948110386026518,0.40712811164002
0.591904969202716,17.4153389634245,0.00830715604752048,3.3412659738155,0.523496559610354,0.0345971154126251,0.610488466627648
0.449631497375941,17.4389528678313,0.00228435078511051,4.32075080406402,0.622214832929953,0.0131113604402274,0.661362317728728
0.542289337647407,17.6344452480698,0.00267635306056961,2.39510787043732,0.503979459521048,0.0119476553778401,0.560101906557721
0.528416771370416,18.1552464254883,0.00485483547603853,5.0524161842446,0.509316716015188,0.0136602322604999,0.720336976880712
