"Vmax","Km","CUE","mr","k","fd","fp"
0.145771512421168,0.640703336565085,0.498271353569883,0.00726526497065043,0.00261126102697154,0.00842951295604662,0.100329787341168
0.24853301230945,3.53438455436851,0.22961335432271,0.00409674379502311,0.000928204189574877,0.0162068254204379,0.379965565401411
0.168016325395116,0.763463327985135,0.487995850851219,0.00695254264552978,0.00115358774998417,0.00958769398325768,0.104701933467627
0.168215421726872,2.12723958158505,0.433319463594638,0.00862876822567183,0.00265837281249707,0.00896757127322709,0.0837103059714521
0.120263343866535,0.676265397639229,0.685959313301451,0.00670023016286082,0.00188209929977336,0.00530891084351129,0.0607211929628141
0.247090401085766,2.12219954826993,0.316223313997903,0.00823607720487601,0.000544400328951321,0.0167993836187596,0.141512106448876
0.101050591415958,0.709168517582993,0.803477728727845,0.00580691587596487,0.00179123369072542,0.00464487771629629,0.0425324539251212
0.134379100634615,0.135336444756314,0.653183370797668,0.00487654571477657,0.000942893618984093,0.00672893758954492,0.0725861768403215
0.115270407952337,0.143794735646252,0.505414078729651,0.00962830339958977,0.00237979510383671,0.00592862921920244,0.0788741261957893
0.207795150082691,5.19890494187678,0.55575348932085,0.000355374762663541,0.00938555181285286,0.0101337888249642,0.0807181276255554
0.15502566313739,0.0937462087025414,0.448596399814705,0.00457683658094851,0.00193918462467399,0.00882745464497412,0.0885192161521041
0.172255187094711,2.56296513458372,0.4387824630848,0.000465725218195505,0.0112524248439297,0.00738761515883544,0.0687060656914018
