"variable","SSres","SStot","ll","R2","N","AIC"
"r",2.07527812861927,12.3362434782609,-15.392688147189,0.831773900030721,6,42.785376294378
"DNAc",0.0739195232298481,0.0252232114836218,-98.1756042369091,-1.93061505184803,6,208.351208473818
"r",1.548069969603,12.3362434782609,-11.4822962491207,0.874510423506878,18,58.9645924982414
"DNAc",0.0470284529164322,0.0252232114836218,-62.4604513078547,-0.86449108381656,18,160.920902615709
"r",1.91250759216859,12.3362434782609,-14.1853916057838,0.844968397750997,12,52.3707832115675
"DNAc",0.06563948592148,0.0252232114836218,-87.1785410750496,-1.60234450970297,12,198.357082150099
"r",0.434538806971646,12.3362434782609,-3.22304767314068,0.964775435266222,36,78.4460953462814
"DNAc",0.0173833270338131,0.0252232114836218,-23.0875222217787,0.310820232185712,36,118.175044443557
