"variable","SSres","SStot","ll","R2","N","AIC"
"r",2.66831117218519,12.3362434782609,-19.7913143239423,0.783701482798445,5,49.5826286478847
"DNAc",0.0904459586378077,0.0252232114836218,-120.125052923336,-2.58582247532346,5,250.250105846672
"r",1.79858924549172,12.3362434782609,-13.3404400012453,0.854202841516445,15,56.6808800024905
"DNAc",0.0861016550224055,0.0252232114836218,-114.355201958463,-2.41358811816307,15,258.710403916925
"r",2.30977499979573,12.3362434782609,-17.1319910192875,0.812765125472267,10,54.2639820385751
"DNAc",0.0863642993876332,0.0252232114836218,-114.70403090282,-2.42400092247224,10,249.40806180564
"r",1.57845824882624,12.3362434782609,-11.7076912450792,0.872047090217713,30,83.4153824901585
"DNAc",0.0750683217022358,0.0252232114836218,-99.7013714394708,-1.97616034147674,30,259.402742878942
