"Vmax","Km","m0","f","Yu","fpr","fps","fds"
0.364104486699762,5.17151832886921,0.00442833905983298,5.01061698579101,0.769685533743863,0.581892290799443,0.0511745034836922,0.00443216963195025
0.450799793401554,17.7744994103982,0.00476986129628942,3.18893200428942,0.6,0.998202918910708,0.0443300570055536,0.00558284379645551
0.283475616628395,2.51251810120133,0.00287132770275835,3.05208273377997,0.6,0.293821346398958,0.0633721718745635,0.00453389140745246
0.306093390538979,5.03123119712281,0.00416512545961448,7.49867646182285,0.6,0.58800920891267,0.0412910416204459,0.00338400930084362
0.23337424676658,1.42122935358185,0.00594507956198083,9.5657515118653,0.784646692697131,0.881731284726715,0.0546324176000022,0.00435534822715285
0.374932116916739,8.01570074049932,0.00284131646967587,2.84428400337159,0.684383379181939,0.39615542001849,0.050703507909892,0.00467341685776356
0.446887737180846,19.8458126310806,0.0053856131425389,0.636187924922048,0.42242358149454,0.553783775601807,0.0549573238954415,0.0088905678806438
0.452981041998019,9.26685080672202,0.00417070176807182,2.49510075052256,0.617378972584514,0.535398317646647,0.0803357415666358,0.00593882397089874
0.633823034390535,18.3518621210398,0.00530210412628526,3.4374403545469,0.675141064102165,0.612183464860769,0.0365417704973004,0.00345256523710793
0.274450839453297,5.00930944455012,0.00158036347254594,2.5595553358953,0.708820385634231,0.772890079291476,0.0355626168829839,0.00466493047164891
0.842125014929805,4.93703808004329,0.00494635770216651,1.87809636657879,0.0651314817192302,0.434046270119618,0.455945845118008,0.0366270060263731
0.578414372082646,18.8562444367722,0.0039647017356755,11.601006324903,0.606859922811497,0.437928273335716,0.049866026813274,0.00409554396680413
