Sample,Structure,Substrate,r,Time,Day,Cinit,DOCinit
CSub3_GW_A_2,Glass wool,Celluloze,0.00,119.19,5,25,0
CSub3_GW_A_3,Glass wool,Celluloze,0.00,119.20,5,25,0
CSub3_GW_A_4,Glass wool,Celluloze,0.00,119.21,5,25,0
CSub3_GW_GCA_1,Glass wool,Mix,0.02,119.26,5,25,16.5
CSub3_GW_GCA_2,Glass wool,Mix,0.02,119.27,5,25,16.5
CSub3_GW_GCA_3,Glass wool,Mix,0.02,119.28,5,25,16.5
CSub3_GW_GCA_4,Glass wool,Mix,0.02,119.33,5,25,16.5
CSub3_GW_CF_1,Glass wool,Free,0.00,119.33,5,0,0
CSub3_GW_CF_2,Glass wool,Free,0.00,119.34,5,0,0
CSub3_GW_CF_3,Glass wool,Free,0.00,119.38,5,0,0
CSub3_GW_CF_4,Glass wool,Free,0.00,119.39,5,0,0
CSub3_B_G_1,Broth,Glucose,0.01,119.50,5,25,25
CSub3_B_G_2,Broth,Glucose,0.01,119.51,5,25,25
CSub3_B_G_3,Broth,Glucose,0.01,119.51,5,25,25
CSub3_B_G_4,Broth,Glucose,0.01,119.55,5,25,25
CSub3_B_C_1,Broth,Cellobiose,0.01,119.56,5,25,25
CSub3_B_C_2,Broth,Cellobiose,0.01,119.57,5,25,25
CSub3_B_C_3,Broth,Cellobiose,0.07,119.62,5,25,25
CSub3_B_C_4,Broth,Cellobiose,0.02,119.63,5,25,25
CSub3_B_A_1,Broth,Celluloze,0.00,119.64,5,25,0
CSub3_B_A_2,Broth,Celluloze,0.00,119.69,5,25,0
CSub3_B_A_3,Broth,Celluloze,0.00,119.69,5,25,0
CSub3_B_A_4,Broth,Celluloze,0.00,119.70,5,25,0
CSub3_B_GCA_1,Broth,Mix,0.02,119.75,5,25,16.5
CSub3_B_GCA_2,Broth,Mix,0.01,119.76,5,25,16.5
CSub3_B_GCA_3,Broth,Mix,0.01,119.78,5,25,16.5
CSub3_B_GCA_4,Broth,Mix,0.02,119.83,5,25,16.5
CSub3_B_CF_1,Broth,Free,0.00,119.83,5,0,0
CSub3_B_CF_2,Broth,Free,0.00,119.84,5,0,0
CSub3_B_CF_3,Broth,Free,0.00,119.88,5,0,0
CSub3_B_CF_4,Broth,Free,0.00,119.89,5,0,0
