"Vmax","Km","CUE","mr","Cmic_0"
0.445274821919699,8.84400858248886,0.770673111816005,0.00505591806209482,0.103113008868351
0.708903032173684,0.220473233649544,0.439593002767751,0.0590898591863932,0.0762220264432117
0.718569443504766,21.8235140907526,0.642833470891402,0.00274803987700032,0.0934519160540408
1.44656921204156,22.0298347850109,0.520970717810076,0.0740890085220261,0.0993927985030996
0.426848539280518,5.61346028218216,0.829842944133722,0.00717843434782146,0.0522061912663137
0.662113064508806,0.547457823382564,0.613428469202133,0.0910094097905199,0.117993342067165
0.838483957280029,0.145996328017193,0.447665327294873,0.0458745723041528,0.0194511214878383
0.69411540238692,0.0121808731350611,0.499419123352158,0.0978768742264434,0.0692787194368851
1.37852602357941,18.5912902583589,0.471878737765939,0.0566689064448566,0.0777205547120497
0.936925236794867,8.58143408409638,0.608350457758273,0.0682468649192036,0.106993385596503
0.445419738785534,5.97349687396102,0.767661555653574,0.00175945433375165,0.0616389788399149
0.821453785531338,27.24017255582,0.695944553410393,0.0035640196458201,0.0747570385290966
