"variable","SSres","SStot","ll","R2","N","AIC"
"r",1.30318350265101,12.3362434782609,-9.6659319915902,0.894361398999014,7,33.3318639831804
"Protc",6.01443238494606,3.20738661823981,-51.567494122921,-0.875181604469855,7,117.134988245842
"r",0.821657165120221,12.3362434782609,-6.09436987369668,0.933394864768342,19,50.1887397473934
"Protc",2.6363883213618,3.20738661823981,-22.6042842559583,0.178026027056061,19,83.2085685119166
"r",1.22408014481302,12.3362434782609,-9.0792090353733,0.900773671744554,13,44.1584180707466
"Protc",5.61537580911885,3.20738661823981,-48.1459995725475,-0.750763620819909,13,122.291999145095
"r",0.483090646237837,12.3362434782609,-3.58316485959903,0.960839728310393,37,81.1663297191981
"Protc",4.32413047901106,3.20738661823981,-37.074915601557,-0.348178749147529,37,148.149831203114
