"ll","R2","N","AIC"
-9.51233131380817,0.896040094931058,7,33.0246626276163
-3.88586289981578,0.957531553007478,21,49.7717257996316
-9.22245413114338,0.899208151572203,14,46.4449082622868
-2.71547538948406,0.970322673338972,42,89.4309507789681
