"Vmax","Km","CUE","k","fp","fd"
0.100695062063368,0.0715318791067863,0.639014341230273,0.00262215856117049,0.0446690138880033,0.00393953708691524
0.271934751507091,11.3747527110921,0.323409594946156,0.00435761929177258,0.132258676571032,0.0119257451616923
0.118409148641605,0.00263346224329221,0.645248428688438,0.00752759648439857,0.0557972812827538,0.0046393167722529
0.12486994344423,0.493927305267886,0.60790232730405,0.0122390983752392,0.0407477569998715,0.00437109366744923
0.579407748096133,9.7675918876203,0.12706554424068,0.00304684871020751,0.330946623935421,0.0267581669455276
0.118452012620806,0.23445428391172,0.645341934863777,0.00941265489795619,0.0473068327640351,0.0046154600832829
0.196599534169461,10.1900728135076,0.432059245150445,0.00812610668907509,0.0956275739335172,0.0089445228915857
0.133854566080372,0.0196327415349195,0.661088089163584,0.0113163013531293,0.0604103558874267,0.00575423974066534
0.116147228887334,1.05253138803196,0.602044073029356,0.0088323515239981,0.0407495335816688,0.00403776757179414
0.134101605769953,1.44997617180553,0.641163540247983,0.00609749463173042,0.0555785285705924,0.00561675885245734
0.130077965987966,0.00760888815005878,0.614777297287071,0.0105901199009167,0.0576999731586194,0.00574701379284213
0.115099039029728,0.107184532702081,0.6568966319058,0.00639870153277207,0.0348878701315693,0.00478009310483372
