"Vmax","Km","CUE","mr","k","Vmax.sd","Km.sd","CUE.sd","mr.sd","k.sd","Legend","Structure"
0.736996218735973,0.240735295326731,0.413305492832268,0.063080497963846,0.00219735939324942,0.215516099431705,0.437177582215479,0.218955824984449,0.0385807827808224,0.00129276430389106,"Respiration","BROTH"
1.05064321013303,38.4803483388398,0.598311036522454,2.01268315106077e-05,0.00518611703866734,0.350640988954988,10.5396502518646,0.222981634087212,1.77347746295362e-05,0.00233913219870009,"Respiration","GLASS"
0.737242584081945,0.201242729551895,0.437511269468541,0.0757999327169795,0.016751423879427,0.240217662751615,0.559393456566761,0.278444566041994,0.029832817891144,0.00654742468459919,"Respiration","WOOL"
0.86708748274867,12.1158165333632,0.614634088202019,0.031126210566239,0.00323455632776133,0.261623407913735,3.54988144348219,0.0958332481639386,0.00762118702660278,0.00100206581885616,"Respiration & Proteins","BROTH"
0.362988258437903,2.35069737383516,0.788799307170914,0.0016489290089374,0.00576939064736538,0.0636090419414419,1.83766126391357,0.175618551259463,0.00329461730727075,0.00170770557619921,"Respiration & Proteins","GLASS"
0.588337810829071,14.5832103836229,0.727063345183974,0.00371190028740573,0.00328875638561824,0.0689539031848706,3.40036957957502,0.0354417205179191,0.00261571945623185,0.000867490039694982,"Respiration & Proteins","WOOL"
0.124142499226437,2.21552393473986,0.680114253003458,0.00547407612058748,0.000802892178189103,0.0418124349441052,1.50186149399776,0.131784286877939,0.00382465410146044,0.000640058830379699,"Respiration & DNA","BROTH"
0.133448697000401,0.0849708817577636,0.60492106696183,0.00347682845456601,0.00395788332362397,0.0342900976132819,0.0805992951639896,0.121425483215692,0.00278968696023792,0.00111432482653587,"Respiration & DNA","GLASS"
0.112552126064458,0.0253637212780583,0.529461964617598,0.00889525202836109,0.000706484254724378,0.0497105011935468,0.0340541413569615,0.0901985701503353,0.00430280219425978,0.000590300061055119,"Respiration & DNA","WOOL"
0.24853301230945,3.53438455436851,0.22961335432271,0.00409674379502311,0.000928204189574877,0.0247864365137032,1.17659618070544,0.0593189926018593,0.00195766816440537,0.000487342590257948,"All","BROTH"
0.168016325395116,0.763463327985135,0.487995850851219,0.00695254264552978,0.00115358774998417,0.0782918057762868,1.68808008435551,0.117128178955524,0.00447439784980141,0.000645571010153235,"All","GLASS"
0.168215421726872,2.12723958158505,0.433319463594638,0.00862876822567183,0.00265837281249707,0.116968327294796,1.1077748996858,0.101202219580842,0.00517119804737659,0.000788123573133408,"All","WOOL"
