"R2","N","AIC","ll"
0.89795504741803,5,28.6742263225005,-9.33711316125025
0.95702966650796,15,37.8635710290433,-3.93178551452167
0.897585287147851,10,38.7418924519432,-9.3709462259716
0.963818384880324,30,66.6212355669007,-3.31061778345034
