"Vmax","Km","CUE","mr","k","fp"
0.489451833445073,8.18005351309749,0.801338185216014,0.00451064430054802,0.00323596442150471,0.0613485577117152
0.86708748274867,12.1158165333632,0.614634088202019,0.031126210566239,0.00323455632776133,0.0892825663985129
0.362988258437903,2.35069737383516,0.788799307170914,0.0016489290089374,0.00576939064736538,0.063017151078797
0.588337810829071,14.5832103836229,0.727063345183974,0.00371190028740573,0.00328875638561824,0.0476041641638109
0.369414150703846,3.86215956428947,0.827359734091471,0.00649062181464476,0.0032481155598024,0.0644648612580553
0.54117419025173,12.7402431764746,0.739771583770982,0.00171851823745425,0.00526198989147607,0.0576584219997104
0.341508911327211,2.7163942569548,0.903470705387301,0.00511856353212019,0.00710953621067021,0.0483389156719365
0.356541484590181,2.18959368071376,0.791887422333946,0.00345187969794777,0.000543931786671684,0.0717746629419988
1.04486485953812,27.0076190105704,0.61068159301078,0.0126972287436,0.00301187713555407,0.0618209087017251
0.311443067212578,0.355698117457988,0.863610264251286,0.00148771318164747,0.00107234938285399,0.0697100155960306
0.43364891540893,5.95553855590108,0.750642588682111,0.000204446260178781,0.00819185852313525,0.0560736488142411
0.449692951959077,7.55585955370899,0.759263570116193,0.00182285007297301,0.00579287782560772,0.0412752502369578
